# selftest begin step,apps,bps,fault,age,appsADC,pedalPct,brakePct,bppc,stale,inv,torque,sendBrake
0,0,0,0,0,0,0.000,0.000,0,0,0,0.000,0
1,0,0,0,0,0,0.000,0.000,0,0,0,0.000,0
2,50,0,0,0,0,0.000,0.000,0,0,0,0.000,0
3,93,0,0,0,5,0.000,0.000,0,0,0,0.000,0
4,1023,0,0,0,10,0.000,0.000,0,0,0,0.000,0
5,1023,0,0,0,18,0.000,0.000,0,0,0,0.000,0
6,1023,0,0,0,118,2.000,0.000,0,0,0,2.000,0
7,1023,0,0,0,209,12.000,0.000,0,0,0,7.000,0
8,1023,0,0,0,290,21.000,0.000,0,0,0,12.000,0
9,1023,0,0,0,364,29.000,0.000,0,0,0,17.000,0
10,1023,0,0,0,429,36.000,0.000,0,0,0,22.000,0
11,1023,0,0,0,489,42.000,0.000,0,0,0,27.000,0
12,1023,0,0,0,542,48.000,0.000,0,0,0,32.000,0
13,1023,0,0,0,590,53.000,0.000,0,0,0,37.000,0
14,1023,0,0,0,634,58.000,0.000,0,0,0,42.000,0
15,1023,0,0,0,673,62.000,0.000,0,0,0,47.000,0
16,1023,0,0,0,708,66.000,0.000,0,0,0,52.000,0
17,1023,0,0,0,739,69.000,0.000,0,0,0,57.000,0
18,1023,0,0,0,768,72.000,0.000,0,0,0,62.000,0
19,1023,0,0,0,793,75.000,0.000,0,0,0,67.000,0
20,1023,0,0,0,816,77.000,0.000,0,0,0,72.000,0
21,1023,0,0,0,837,80.000,0.000,0,0,0,77.000,0
22,1023,0,0,0,855,81.000,0.000,0,0,0,81.000,0
23,1023,0,0,0,872,83.000,0.000,0,0,0,83.000,0
24,1023,0,0,0,887,85.000,0.000,0,0,0,85.000,0
25,1023,0,0,0,901,86.000,0.000,0,0,0,86.000,0
26,0,0,0,0,913,88.000,0.000,0,0,0,88.000,0
27,0,0,0,0,924,89.000,0.000,0,0,0,89.000,0
28,1023,0,0,0,934,90.000,0.000,0,0,0,90.000,0
29,1023,0,0,0,943,91.000,0.000,0,0,0,91.000,0
30,1023,0,0,0,951,92.000,0.000,0,0,0,92.000,0
31,1023,0,0,0,958,93.000,0.000,0,0,0,93.000,0
32,1023,0,0,0,965,93.000,0.000,0,0,0,93.000,0
33,1023,0,0,0,970,94.000,0.000,0,0,0,94.000,0
34,1023,900,0,0,976,94.000,0.000,0,0,0,94.000,0
35,1023,900,0,0,980,95.000,0.000,0,0,0,95.000,0
36,1023,900,0,0,985,95.000,8.000,0,0,0,95.000,1
